仓储是指利用仓库及相关设施设备进行物品的入库、存贮、出库的活动。,仓库 设施设备 物品入库 存贮 出库,10,仓储|是|指|利用|仓库|及|相关|设施|设备|进行|物品|的|入库|、|存贮|、|出库|的|活动|。,vn|v|v|v|n|c|vn|n|n|v|n|u|vn|w|vn|w|v|u|n|w,仓库| |设施|设备| |物品|入库| |存贮| |出库,n|w|n|n|w|n|vn|w|vn|w|v
仓储管理是指对仓储设施布局和设计以及仓储作业所进行的计划、组织、协调和控制。,仓储 设施布局 设计 仓储作业 计划 组织 协调 控制,10,仓储|管理|是|指|对|仓储|设施|布局|和|设计|以及|仓储|作业|所|进行|的|计划|、|组织|、|协调|和|控制|。,vn|vn|v|v|p|vn|n|n|c|vn|c|vn|n|u|v|u|n|w|n|w|vn|c|v|w,仓储| |设施|布局| |设计| |仓储|作业| |计划| |组织| |协调| |控制,vn|w|n|n|w|vn|w|vn|n|w|n|w|n|w|vn|w|v
库存是指储存作为今后按预定的目的使用而处于闲置或非生产状态的物品。,储存 预定目的 使用 闲置 非生产状态 物品,10,库存|是|指|储存|作为|今后|按|预定|的|目的|使用|而|处于|闲置|或|非|生产|状态|的|物品|。,n|v|v|vn|v|t|p|vn|u|n|v|c|v|v|c|v|vn|n|u|n|w,储存| |预定|目的| |使用| |闲置| |非|生产|状态| |物品,vn|w|vn|n|w|vn|w|vn|w|v|vn|n|w|n
库存管理是指利用有效的方法和现代的技术手段在保证供应的前提下实现对库存物品数量上的有效控制，进而实现库存物品量的最低化，甚至实现零库存。,有效方法 技术手段 供应 库存物品 数量 有效控制 库存物品量 最低化 零库存,10,库存|管理|是|指|利用|有效|的|方法|和|现代|的|技术|手段|在|保证|供应|的|前提|下|实现|对|库存|物品|数量|上|的|有效|控制|，|进而|实现|库存|物品|量|的|最低化|，|甚至|实现|零库存|。,vn|vn|v|v|v|a|u|n|c|t|u|n|n|p|v|vn|u|n|f|v|p|vn|n|n|f|u|a|vn|w|c|v|n|n|n|u|vn|w|d|v|n|w,有效|方法| |技术|手段| |供应| |库存|物品| |数量| |有效|控制| |库存|物品|量| |最|低化| |零库存,a|n|w|n|n|w|vn|w|vn|n|w|n|w|ad|v|w|n|n|n|w|d|v|w|n
仓储管理的内容：仓库的选址与建设、仓库机械设备的选择与配置、仓库业务管理、仓库的库存控制管理、人力资源管理,仓库 选址建设 机械设备 选择配置 业务管理 库存控制管理 人力资源管理,10,仓储|管理|的|内容|：|仓库|的|选址|与|建设|、|仓库|机械|设备|的|选择|与|配置|、|仓库|业务|管理|、|仓库|的|库存|控制|管理|、|人力资源|管理,vn|vn|u|n|w|n|u|vn|c|vn|w|n|n|n|u|vn|c|vn|w|n|n|vn|w|n|u|n|vn|vn|w|n|vn,仓库| |选址|建设| |机械|设备| |选择|配置| |业务|管理| |库存|控制|管理| |人力资源|管理,n|w|vn|vn|w|n|n|w|v|vn|w|n|vn|w|vn|vn|vn|w|n|vn
仓储管理是围绕着在库“物品”的管理，即对在库“物”的管理。,围绕 在库 物品 管理 在库 物 管理,10,仓储|管理|是|围绕|着|在|库|“|物品|”|的|管理|，|即|对|在|库|“|物|”|的|管理|。,vn|vn|v|v|u|p|n|w|n|w|u|vn|w|v|p|p|n|w|n|w|u|vn|w,围绕| |在|库| |物品| |管理| |在|库| |物| |管理,v|w|p|n|w|n|w|vn|w|p|n|w|n|w|vn
库存控制是对物品的在库“数量”进行控制的管理，即对在库“量”的管理。,物品 在库 数量 控制 管理 在库 量 管理,10,库存控制|是|对|物品|的|在|库|“|数量|”|进行|控制|的|管理|，|即|对|在|库|“|量|”|的|管理|。,nz|v|p|n|u|p|n|w|n|w|v|vn|u|vn|w|v|p|p|n|w|n|w|u|vn|w,物品| |在|库| |数量| |控制| |管理| |在|库| |量| |管理,n|w|p|n|w|n|w|vn|w|vn|w|p|n|w|n|w|vn
库存控制是指在保障供应的前提下，使库存物品的数量合理所进行的有效管理的技术经济措施。,保障供应 前提 库存物品 数量合理 有效管理 技术经济措施,10,库存|控制|是|指|在|保障|供应|的|前提|下|，|使|库存|物品|的|数量|合理|所|进行|的|有效|管理|的|技术|经济|措施|。,vn|vn|v|v|p|v|vn|u|n|f|w|v|vn|n|u|n|a|u|v|u|a|vn|u|n|n|n|w,保障|供应| |前提| |库存|物品| |数量|合理| |有效|管理| |技术|经济|措施,vn|vn|w|n|w|vn|n|w|n|a|w|a|vn|w|n|n|n
仓储管理的对象是库存物品，仓储管理是在库物品保管的方法和措施的总和。,对象 库存物品 仓储管理 在库物品保管 方法和措施 总和,10,仓储|管理|的|对象|是|库存|物品|，|仓储|管理|是|在|库|物品|保管|的|方法|和|措施|的|总和|。,vn|vn|u|n|v|vn|n|w|vn|vn|v|p|n|n|v|u|n|c|n|u|n|w,对象| |库存|物品| |仓储|管理| |在|库|物品|保管| |方法|和|措施| |总和,n|w|vn|n|w|vn|vn|w|p|n|n|v|w|n|c|n|w|n
自营仓库是指由企业或各类组织自营自管，为自身提供储存服务的仓库。,企业 各类组织 自营自管 储存服务 仓库,10,自营|仓库|是|指|由|企业|或|各类|组织|自营|自管|，|为|自身|提供|储存|服务|的|仓库|。,vn|n|v|v|p|n|c|r|n|vn|vn|w|p|r|v|vn|vn|u|n|w,企业| |各类|组织| |自营|自管| |储存|服务| |仓库,n|w|r|n|w|vn|vn|w|vn|vn|w|n
公共仓库是指面向社会提供物品储存服务并收取费用的仓库。,社会 物品储存服务 收取费用 仓库,10,公共|仓库|是|指|面向|社会|提供|物品|储存|服务|并|收取|费用|的|仓库|。,a|n|v|v|v|n|v|n|vn|vn|c|v|n|u|n|w,社会| |物品|储存|服务| |收取|费用| |仓库,n|w|n|vn|vn|w|v|n|w|n
综合库是用于存放多种不同属性物品的仓库。,存放 多种 不同属性 物品 仓库,10,综合|库|是|用于|存放|多种|不同|属性|物品|的|仓库|。,vn|n|v|v|v|m|a|n|n|u|n|w,存放| |多种| |不同|属性| |物品| |仓库,v|w|m|w|a|n|w|n|w|n
专业库是用于存放一种或某一大类物品的仓库。,存放 一种 某一大类 物品 仓库,10,专业|库|是|用于|存放|一种|或|某一|大类|物品|的|仓库|。,n|n|v|v|v|m|c|r|m|n|u|n|w,存放| |一种| |某一|大|类| |物品| |仓库,v|w|m|w|r|a|q|w|n|w|n
普通仓库是用于存放无特殊保管要求的物品的仓库。,存放 无特殊 保管要求 物品 仓库,10,普通|仓库|是|用于|存放|无|特殊|保管|要求|的|物品|的|仓库|。,a|n|v|v|v|v|a|vn|n|u|n|u|n|w,存放| |无|特殊| |保管|要求| |物品| |仓库,v|w|v|a|w|vn|n|w|n|w|n
保温、冷藏、恒湿恒温库是用于存放要求保温、冷藏或恒湿恒温的物品的仓库。,保温 冷藏 恒湿恒温 物品 仓库,10,保温|、|冷藏|、|恒湿恒温库|是|用于|存放|要求|保温|、|冷藏|或|恒湿|恒温|的|物品|的|仓库|。,vn|w|vn|w|nz|v|v|v|v|vn|w|v|c|a|a|u|n|u|n|w,保温| |冷藏| |恒湿|恒温| |物品| |仓库,vn|w|vn|w|a|a|w|n|w|n
危险品仓库是保管危险物品并能对危险品起一定防护作用的仓库,危险物品 一定防护作用 仓库,10,危险品|仓库|是|保管|危险|物品|并|能|对|危险品|起|一定|防护|作用|的|仓库,n|n|v|v|a|n|c|v|p|n|v|a|vn|n|u|n,危险|物品| |一定|防护|作用| |仓库,a|n|w|a|vn|n|w|n
气调仓库是用于存放要求控制库内氧气和二氧化碳浓度的物品的仓库。,控制 氧气 二氧化碳浓度 物品 仓库,10,气调仓库|是|用于|存放|要求|控制|库|内|氧气|和|二氧化碳|浓度|的|物品|的|仓库|。,nz|v|v|v|v|v|n|f|n|c|n|n|u|n|u|n|w,控制| |氧气| |二氧化碳|浓度| |物品| |仓库,vn|w|n|w|n|n|w|n|w|n
半封闭式仓库：俗称货棚，其保管条件不如库房，但是出入库作业比较方便，且建造成本较低，适宜存放那些对温湿度要求不高且出入库频繁的物品。,货棚 保管条件 库房 出入库作业 方便 成本较低 温湿度 要求不高 出入库频繁 物品,10,半|封闭式|仓库|：|俗称|货棚|，|其|保管|条件|不如|库房|，|但是|出|入库|作业|比较|方便|，|且|建造|成本|较|低|，|适宜|存放|那些|对|温湿度|要求|不|高|且|出|入库|频繁|的|物品|。,m|a|n|w|v|n|w|r|vn|n|v|n|w|c|v|vn|n|d|a|w|c|v|n|d|a|w|v|v|r|p|n|n|d|a|c|v|vn|a|u|n|w,货棚| |保管|条件| |库房| |出|入库|作业| |方便| |成本|较|低| |温湿度| |要求|不|高| |出|入库|频繁| |物品,n|w|vn|n|w|n|w|v|vn|n|w|a|w|n|d|a|w|n|w|v|d|a|w|v|vn|a|w|n
封闭式仓库：俗称库房，该结构的仓库封闭性强，便于对仓储物进行维护保养，适于存放保管要求比较高的物品。,库房 结构 仓库封闭性强 仓储物 维护保养 保管要求高 物品,10,封闭式|仓库|：|俗称|库房|，|该|结构|的|仓库|封闭性|强|，|便于|对|仓储物|进行|维护|保养|，|适于|存放|保管|要求|比较|高|的|物品|。,a|n|w|v|n|w|r|n|u|n|n|a|w|v|p|n|v|vn|vn|w|v|v|vn|n|d|a|u|n|w,库房| |结构| |仓库|封闭性|强| |仓储物| |维护|保养| |保管|要求|高| |物品,n|w|n|w|n|n|a|w|n|w|v|vn|w|vn|n|a|w|n
露天式仓库：俗称货场，其最大的优点是装卸作业极其方便，适宜存放较大型的物品。,货场 优点 装卸作业 方便 较大型的 物品,10,露天式|仓库|：|俗称|货场|，|其|最大|的|优点|是|装卸|作业|极其|方便|，|适宜|存放|较|大型|的|物品|。,a|n|w|v|n|w|r|a|u|n|v|vn|n|d|a|w|v|v|d|a|u|n|w,货场| |优点| |装卸作业| |方便| |较|大型|的| |物品,n|w|n|w|nz|w|a|w|d|a|u|w|n
地面型仓库一般是指单层地面库，多实用非货架型的保管设备。,单层地面库 非货架型 保管设备,10,地面型|仓库|一般|是|指|单层|地面库|，|多|实用|非货架型|的|保管|设备|。,a|n|ad|v|v|n|n|w|d|a|a|u|vn|n|w,单层|地面库| |非货架型| |保管|设备,n|n|w|a|w|vn|n
货架型仓库指采用多层货架保管的仓库。货架上放着物品和托盘，物品和托盘可在货架上滑动。,多层货架 仓库 货架 物品 托盘 物品 托盘 货架 滑动,10,货架型|仓库|指|采用|多层|货架|保管|的|仓库|。|货架|上|放|着|物品|和|托盘|，|物品|和|托盘|可|在|货架|上|滑动|。,a|n|v|v|m|n|v|u|n|w|n|f|v|u|n|c|n|w|n|c|n|v|p|n|f|v|w,多层|货架| |仓库| |货架| |物品| |托盘| |物品| |托盘| |货架| |滑动,m|n|w|n|w|n|w|n|w|n|w|n|w|n|w|n|w|v
货架可以分为固定货架和移动货架。,固定货架 移动货架,10,货架|可以|分为|固定|货架|和|移动|货架|。,n|v|v|a|n|c|vn|n|w,固定|货架| |移动|货架,v|n|w|vn|n
自动化立体仓库是指入库采用运送机械存放取出，用堆垛机等设备进行机械化自动化作业的高层货架仓库。,入库 运送 机械 存放取出 堆垛机 设备 机械化 自动化作业 高层货架仓库,10,自动化|立体|仓库|是|指|入库|采用|运送|机械|存放|取出|，|用|堆垛机|等|设备|进行|机械化|自动化|作业|的|高层|货架|仓库|。,vn|a|n|v|v|vn|v|vn|n|v|v|w|p|nz|u|n|v|vn|vn|n|u|n|n|n|w,入库| |运送| |机械| |存放|取出| |堆垛机| |设备| |机械化| |自动化|作业| |高层|货架|仓库,v|w|vn|w|n|w|v|v|w|nz|w|n|w|vn|w|vn|n|w|n|n|n
将零星物品集中成批量物品称为集货。,零星物品 集中 批量物品,10,将|零星物品集中成批量物品|称为|集货|。,p|ORG|v|vn|w,零星|物品| |集中| |批量|物品,a|n|w|v|w|n|n
将大批量运到的物品分成批量较小的物品称为分货。,大批量 物品 分成 批量较小 物品,10,将|大批量|运|到|的|物品|分成|批量|较小|的|物品|称为|分|货|。,p|n|v|v|u|n|v|n|a|u|n|v|v|n|w,大批量| |物品| |分成| |批量|较小| |物品,n|w|n|w|v|w|n|a|w|n
分货中心是主要从事分货工作的物流据点。,分货工作 物流据点,10,分|货|中心|是|主要|从事|分|货|工作|的|物流|据点|。,v|n|n|v|ad|v|v|n|n|u|n|n|w,分|货|工作| |物流|据点,v|n|n|w|n|n
转运中心的主要工作是承担物品在不同运输方式之间的转运。,承担 物品 不同运输方式 转运,10,转运|中心|的|主要|工作|是|承担|物品|在|不同|运输|方式|之间|的|转运|。,vn|n|u|a|n|v|v|n|p|a|vn|n|f|u|vn|w,承担| |物品| |不同|运输|方式| |转运,v|w|n|w|a|vn|n|w|vn
加工中心的主要工作是进行流通加工。,主要工作 进行 流通 加工,10,加工|中心|的|主要|工作|是|进行|流通|加工|。,vn|n|u|a|n|v|v|vn|vn|w,主要|工作| |进行| |流通| |加工,a|n|w|v|w|vn|w|vn
储调中心以储备为主要工作内容，其功能与传统仓库基本一致。,储备 工作内容 功能 传统仓库 基本一致,10,储调中心|以|储备|为|主要|工作|内容|，|其|功能|与|传统|仓库|基本|一致|。,ORG|p|vn|v|a|n|n|w|r|n|c|a|n|d|a|w,储备| |工作|内容| |功能| |传统|仓库| |基本|一致,vn|w|n|n|w|n|w|a|n|w|d|a
配送中心是从事配送业务且具有完善信息网络的场所或组织。,配送业务 完善 信息网络 场所 组织,10,配送|中心|是|从事|配送|业务|且|具有|完善|信息|网络|的|场所|或|组织|。,vn|n|v|v|vn|n|c|v|v|n|n|u|n|c|n|w,配送|业务| |完善| |信息|网络| |场所| |组织,vn|n|w|vn|w|n|n|w|n|w|n
物流中心是从事物流活动且具有完善信息网络的场所或组织。,物流活动 完善 信息网络 场所 组织,10,物流|中心|是|从事|物流|活动|且|具有|完善|信息|网络|的|场所|或|组织|。,n|n|v|v|n|n|c|v|v|n|n|u|n|c|n|w,物流|活动| |完善| |信息|网络| |场所| |组织,n|n|w|vn|w|n|n|w|n|w|n
根据仓库的主要功能不同可分为：储备库和物流库。,主要功能 不同 储备库 物流库,10,根据|仓库|的|主要|功能|不同|可|分为|：|储备|库|和|物流|库|。,p|n|u|a|n|a|v|v|w|vn|n|c|n|n|w,主要|功能| |不同| |储备|库| |物流|库,a|n|w|a|w|vn|n|w|n|n
储备库主要的功能是储存和保管物资，这也是仓库的最传统、最基本的功能。,功能 储存和 保管物资 仓库 最传统 最基本 功能,10,储备|库|主要|的|功能|是|储存|和|保管|物资|，|这|也是|仓库|的|最|传统|、|最|基本|的|功能|。,vn|n|a|u|n|v|v|c|vn|n|w|r|v|n|u|d|a|w|d|a|u|n|w,功能| |储存|和| |保管|物资| |仓库| |最|传统| |最|基本| |功能,n|w|vn|c|w|v|n|w|n|w|d|a|w|d|a|w|n
保税仓库，是指经海关批准设立的专门存放保税货物及其他未办结海关手续货物的仓库。,海关 批准 设立 存放 保税货物 其他未办结海关手续 货物 仓库,10,保税仓库|，|是|指|经|海关|批准|设立|的|专门|存放|保税|货物|及|其他|未|办结|海关|手续|货物|的|仓库|。,nz|w|v|v|p|n|v|v|u|d|v|vn|n|c|r|d|v|n|n|n|u|n|w,海关| |批准| |设立| |存放| |保税|货物| |其他|未|办结|海关|手续| |货物| |仓库,n|w|v|w|v|w|v|w|vn|n|w|r|d|v|n|n|w|n|w|n
物流节点（logistics nodes）是指物流网络中连接物流线路的结节之处。 ,物流网络 物流线路 结节,10,物流|节点|（|logistics nodes|）|是|指|物流|网络|中|连接|物流|线路|的|结节|之|处|。| ,n|n|w|nz|w|v|v|n|n|f|v|n|n|u|n|u|n|w|w,物流|网络| |物流|线路| |结节,n|n|w|n|n|w|n
广义的物流节点是指所有进行物资中转、集散和储运的节点，包括港口、空港、火车货运站、公路枢纽、大型公共仓库及现代物流（配送）中心、物流园区等。,物资中转 集散 储运 节点 港口 火车货运站 公路枢纽 大型公共仓库 现代物流中心 物流园区,10,广义|的|物流|节点|是|指|所有|进行|物资|中转|、|集散|和|储运|的|节点|，|包括|港口|、|空港|、|火车|货运站|、|公路|枢纽|、|大型|公共|仓库|及|现代物流|（|配送|）|中心|、|物流|园区|等|。,n|u|n|n|v|v|r|v|n|v|w|v|c|vn|u|n|w|v|n|w|n|w|n|n|w|n|n|w|a|a|n|c|ORG|w|vn|w|n|w|n|n|u|w,物资|中转| |集散| |储运| |节点| |港口| |火车|货运站| |公路|枢纽| |大型|公共|仓库| |现代|物流|中心| |物流|园区,n|v|w|v|w|vn|w|n|w|n|w|n|n|w|n|n|w|a|a|n|w|t|n|n|w|n|n
